Cod_cmd,Libelle,Vendeur,Univers,Nature,Date_cmd,Montant_cmd,Quantite,Prix_transport,Delai_transport
CMD01000,lampe modèle 7,Vendeur A,Maison,Luminaire,2023-05-21,16.77,2,5.82,10
CMD01000,boîte de rangement vert modèle 3,Vendeur F,Maison,Rangement,2023-04-12,171.93,3,3.89,13
CMD01001,grille-pain,Vendeur E,Cuisine,Électroménager,2023-02-17,54.31,4,1.97,5
CMD01001,lampe frontale vert,Vendeur A,Sport,,2023-10-23,155.15,4,15.89,6
CMD01002,câble lightning modèle 4,Vendeur B,High-Tech,Téléphonie,2023-07-01,187.59,3,24.74,11
CMD01002,tapis yoga rouge,Vendeur A,Sport,Fitness,2023-12-17,88.34,5,21.91,6
CMD01003,souris ergonomique blanc 38 cm,Vendeur D,High-Tech,Informatique,2023-09-13,359.64,4,9.05,3
CMD01003,gourde isotherme,Vendeur A,Sport,Plein air,2023-02-16,156.98,5,24.9,9
CMD01004,mug,Vendeur C,Cuisine,Art de la table,2023-01-06,176.73,4,0.08,12
CMD01004,mug bleu 74 cm,Vendeur E,Cuisine,Art de la table,2023-04-02,367.8,5,8.1,1
CMD01005,cadre photo,Vendeur E,Maison,Décoration,2023-06-07,307.5,2,16.49,9
CMD01005,coque silicone,Vendeur F,High-Tech,Téléphonie,2023-09-28,128.13,3,10.95,9
CMD01006,transat bleu 12 cm modèle 1,Vendeur C,Jardin,Mobilier extérieur,2023-05-07,32.99,2,6.96,8
CMD01006,tapis souris modèle 2,Vendeur F,High-Tech,Informatique,2023-03-09,175.27,4,10.28,14
CMD01007,boîte de rangement modèle 4,Vendeur B,Maison,Rangement,2023-12-01,216.83,2,10.55,5
CMD01007,transat rouge,Vendeur B,Jardin,Mobilier extérieur,2023-02-08,70.69,4,12.03,14
CMD01008,table jardin modèle 9,Vendeur F,Jardin,Mobilier extérieur,2023-03-26,288.77,2,4.75,4
CMD01008,étagère blanc 28 cm modèle 2,Vendeur F,Maison,Rangement,2023-10-05,345.42,4,3.0,10
CMD01009,tapis souris gris modèle 6,Vendeur B,,Informatique,2023-11-01,109.92,2,16.79,5
CMD01009,gants jardinage 87x36,Vendeur A,,Outillage,2023-02-07,352.31,3,7.12,8
CMD01010,lampe frontale vert modèle 3,Vendeur C,Sport,Plein air,2023-11-10,50.59,1,18.56,3
CMD01010,planche à découper 33x31,Vendeur C,Cuisine,Ustensile,2023-11-06,22.41,3,19.28,11
CMD01011,bouilloire blanc,Vendeur E,Cuisine,Électroménager,2023-08-15,223.25,4,3.19,5
CMD01011,bouilloire beige,Vendeur B,Cuisine,Électroménager,2023-07-03,346.52,2,22.04,1
CMD01012,tapis souris modèle 2,Vendeur D,High-Tech,Informatique,2023-06-20,349.51,4,5.56,14
CMD01012,sécateur bleu 37x118 modèle 9,Vendeur D,Jardin,Outillage,2023-06-06,273.41,5,8.28,1
CMD01013,cadre photo beige 60 cm,Vendeur E,Maison,Décoration,2023-04-02,50.68,5,4.75,1
CMD01013,transat modèle 7,Vendeur A,Jardin,Mobilier extérieur,2023-09-24,379.81,3,15.58,11
CMD01014,boîte de rangement vert modèle 7,Vendeur F,Maison,Rangement,2023-06-03,300.51,2,15.39,5
CMD01014,transat 192x47,Vendeur F,Jardin,Mobilier extérieur,2023-06-05,72.03,1,7.09,11
CMD01015,lampe frontale bleu 141x98,Vendeur A,Sport,Plein air,2023-02-17,184.89,5,4.86,12
CMD01015,sécateur,Vendeur D,Jardin,Outillage,2023-07-24,91.44,5,11.61,9
CMD01016,barre de son,Vendeur D,High-Tech,Audio,2023-08-22,247.0,5,10.67,9
CMD01016,transat modèle 2,Vendeur F,Jardin,Mobilier extérieur,2023-09-01,117.86,3,8.4,9
CMD01017,suspension beige 35x46,Vendeur D,Maison,Luminaire,2023-03-19,362.41,5,23.65,1
CMD01017,sac à dos rando,Vendeur F,,Plein air,2023-09-02,295.18,5,22.45,8
CMD01018,câble lightning 139x36,Vendeur E,High-Tech,Téléphonie,2023-08-12,15.65,4,14.8,11
CMD01018,suspension beige 106x117,Vendeur C,Maison,Luminaire,2023-11-26,302.04,4,6.31,2
CMD01019,chaise pliante,Vendeur A,Jardin,Mobilier extérieur,2023-10-04,380.1,2,20.98,10
CMD01019,casque bluetooth vert modèle 2,Vendeur B,High-Tech,Audio,2023-03-06,386.06,1,14.47,5
CMD01020,lampe frontale modèle 5,Vendeur F,Sport,Plein air,2023-07-23,242.16,1,19.91,10
CMD01020,miroir beige modèle 6,Vendeur F,Maison,Décoration,2023-09-30,357.17,4,17.68,7
CMD01021,tapis souris 80 cm modèle 4,Vendeur A,High-Tech,Informatique,2023-09-25,115.18,4,6.1,8
CMD01021,gourde isotherme gris,Vendeur E,,Plein air,2023-06-22,281.97,3,13.89,9
CMD01022,casque bluetooth,Vendeur A,High-Tech,Audio,2023-05-04,41.76,2,10.11,4
CMD01022,verre à pied gris 98x52 modèle 4,Vendeur C,Cuisine,Art de la table,2023-10-25,52.22,5,23.77,12
CMD01023,barre de son modèle 2,Vendeur B,High-Tech,Audio,2023-04-21,122.02,3,4.49,1
CMD01023,haltère 67 cm modèle 1,Vendeur E,,,2023-05-21,117.31,4,11.01,3
CMD01024,bougie parfumée rouge 43 cm modèle 4,Vendeur A,Maison,,2023-09-02,225.44,4,15.16,13
CMD01024,haltère,Vendeur E,Sport,Fitness,2023-09-25,28.79,1,23.69,4
CMD01025,câble lightning rouge 65 cm modèle 4,Vendeur C,High-Tech,Téléphonie,2023-12-05,284.25,4,1.78,4
CMD01025,verre à pied bleu,Vendeur B,Cuisine,Art de la table,2023-10-29,33.21,2,19.82,10
CMD01026,lampe frontale vert,Vendeur A,Sport,Plein air,2023-08-13,241.22,4,18.36,10
CMD01026,mixeur plongeant rouge,Vendeur C,Cuisine,Électroménager,2023-02-16,232.62,2,11.76,11
CMD01027,arrosoir 102x105 modèle 3,Vendeur C,Jardin,Outillage,2023-04-03,167.6,4,7.21,7
CMD01027,tapis yoga 5 cm,Vendeur E,Sport,Fitness,2023-08-21,187.48,1,4.69,6
CMD01028,sac à dos rando vert 20 cm modèle 4,Vendeur F,Sport,,2023-11-17,67.56,5,0.34,7
CMD01028,suspension vert modèle 8,Vendeur D,Maison,Luminaire,2023-02-28,101.27,5,3.62,4
CMD01029,haltère vert modèle 5,Vendeur E,Sport,Fitness,2023-02-05,234.07,4,21.63,8
CMD01029,sac à dos rando gris,Vendeur B,Sport,Plein air,2023-06-26,230.86,2,21.4,7
CMD01030,bougie parfumée,Vendeur B,Maison,Décoration,2023-08-31,200.65,1,3.16,10
CMD01030,bouilloire 24 cm modèle 5,Vendeur C,Cuisine,Électroménager,2023-08-14,251.19,4,16.25,14
CMD01031,mug 84 cm modèle 5,Vendeur B,Cuisine,Art de la table,2023-10-01,299.97,4,24.46,13
CMD01031,cadre photo rouge 57x51,Vendeur E,Maison,Décoration,2023-03-27,274.31,2,4.25,2
CMD01032,lampe frontale,Vendeur F,Sport,Plein air,2023-11-14,8.71,4,22.53,11
CMD01032,élastique résistance beige,Vendeur C,Sport,Fitness,2023-02-07,83.69,4,21.33,2
CMD01033,câble lightning beige 11 cm,Vendeur F,High-Tech,Téléphonie,2023-10-20,201.21,3,19.39,4
CMD01033,lampe frontale,Vendeur B,Sport,Plein air,2023-04-23,253.16,1,7.72,8
CMD01034,boîte de rangement beige 158x66,Vendeur C,Maison,Rangement,2023-07-06,333.04,3,22.85,8
CMD01034,assiette céramique bleu,Vendeur D,Cuisine,Art de la table,2023-06-23,387.07,5,9.14,13
CMD01035,transat 183x67 modèle 4,Vendeur D,Jardin,Mobilier extérieur,2023-05-16,14.88,5,8.2,10
CMD01035,tapis souris beige 29x58,Vendeur A,High-Tech,Informatique,2023-02-02,43.39,5,3.39,8
CMD01036,mug,Vendeur D,Cuisine,Art de la table,2023-12-23,248.18,3,0.82,6
CMD01036,coque silicone 87 cm,Vendeur D,High-Tech,Téléphonie,2023-08-16,113.97,1,23.73,14
CMD01037,chaise pliante gris 164x46 modèle 9,Vendeur B,Jardin,Mobilier extérieur,2023-12-06,236.62,2,8.21,3
CMD01037,tapis yoga blanc 21 cm modèle 4,Vendeur E,Sport,Fitness,2023-05-22,132.89,2,6.63,3
CMD01038,transat,Vendeur A,Jardin,Mobilier extérieur,2023-02-02,292.26,5,7.54,11
CMD01038,lampe 175x38 modèle 5,Vendeur E,Maison,Luminaire,2023-09-03,255.07,5,17.8,7
CMD01039,lampe frontale bleu 57 cm,Vendeur D,Sport,Plein air,2023-08-21,162.5,1,7.81,6
CMD01039,poêle anti-adhésive 115x36,Vendeur E,Cuisine,Ustensile,2023-03-20,382.87,5,8.24,2
CMD01040,gants jardinage vert,Vendeur E,Jardin,Outillage,2023-12-07,205.43,2,16.42,4
CMD01040,vase déco,Vendeur E,Maison,Décoration,2023-10-12,247.36,5,0.66,11
CMD01041,grille-pain blanc,Vendeur D,Cuisine,Électroménager,2023-04-03,32.49,1,2.29,9
CMD01041,chargeur usb-c,Vendeur A,High-Tech,Téléphonie,2023-08-03,353.92,2,3.94,10
CMD01042,boîte de rangement 151x34,Vendeur A,Maison,Rangement,2023-02-11,116.88,5,12.17,11
CMD01042,bouilloire bleu,Vendeur C,Cuisine,Électroménager,2023-04-23,134.61,1,12.43,7
CMD01043,barre de son modèle 1,Vendeur D,High-Tech,Audio,2023-07-14,12.4,1,21.55,10
CMD01043,arrosoir gris 63 cm,Vendeur C,Jardin,Outillage,2023-12-30,39.81,1,6.08,10
CMD01044,chaise pliante blanc 72 cm,Vendeur C,Jardin,Mobilier extérieur,2023-07-22,143.68,2,5.91,3
CMD01044,mixeur plongeant 79 cm,Vendeur E,Cuisine,Électroménager,2023-03-30,258.98,5,8.08,11
CMD01045,grille-pain,Vendeur A,Cuisine,Électroménager,2023-08-14,127.61,4,0.94,6
CMD01045,mixeur plongeant beige 10 cm,Vendeur E,Cuisine,Électroménager,2023-11-27,262.48,3,15.13,9
CMD01046,enceinte portable 10 cm modèle 8,Vendeur D,High-Tech,Audio,2023-08-19,212.01,5,3.97,6
CMD01046,poêle anti-adhésive modèle 2,Vendeur E,Cuisine,Ustensile,2023-07-29,272.96,3,6.3,14
CMD01047,haltère beige 15 cm,Vendeur D,Sport,Fitness,2023-06-20,259.18,3,20.33,11
CMD01047,tapis yoga blanc,Vendeur D,Sport,Fitness,2023-11-27,80.84,2,3.87,5
CMD01048,étagère,Vendeur E,Maison,Rangement,2023-10-04,153.8,2,4.52,12
CMD01048,élastique résistance,Vendeur D,,Fitness,2023-08-13,97.43,2,7.74,13
CMD01049,table jardin vert,Vendeur D,Jardin,Mobilier extérieur,2023-07-08,386.68,2,20.03,3
CMD01049,bouilloire modèle 2,Vendeur B,Cuisine,Électroménager,2023-11-25,112.75,5,3.68,7
CMD01050,lampadaire gris 52 cm modèle 6,Vendeur A,Maison,Luminaire,2023-08-19,336.47,3,19.78,3
CMD01050,bougie parfumée rouge modèle 4,Vendeur B,Maison,Décoration,2023-08-30,221.78,5,13.19,2
CMD01051,mixeur plongeant 147x96,Vendeur F,Cuisine,Électroménager,2023-06-04,208.57,2,17.96,5
CMD01051,chaise pliante 13 cm,Vendeur E,Jardin,Mobilier extérieur,2023-11-11,205.39,5,13.85,7
CMD01052,transat noir 85 cm modèle 6,Vendeur B,Jardin,Mobilier extérieur,2023-11-22,22.51,5,8.46,11
CMD01052,clavier sans fil 63 cm modèle 4,Vendeur A,High-Tech,Informatique,2023-08-26,317.49,1,7.89,5
CMD01053,lampe frontale gris modèle 6,Vendeur C,Sport,,2023-10-06,54.17,3,10.92,7
CMD01053,arrosoir vert,Vendeur A,Jardin,Outillage,2023-06-23,175.09,2,13.64,6
CMD01054,lampadaire 110x98,Vendeur C,Maison,Luminaire,2023-06-17,257.59,1,1.88,11
CMD01054,sécateur 185x66,Vendeur E,Jardin,Outillage,2023-09-20,17.79,2,16.98,6
CMD01055,set couteaux vert 67x83,Vendeur E,Cuisine,Ustensile,2023-02-09,51.52,3,17.6,4
CMD01055,gourde isotherme noir 61 cm,Vendeur F,Sport,Plein air,2023-12-22,387.19,3,16.7,12
CMD01056,étagère,Vendeur C,Maison,Rangement,2023-10-05,205.96,1,24.63,13
CMD01056,enceinte portable blanc modèle 5,Vendeur D,,Audio,2023-09-10,399.84,4,13.14,13
CMD01057,table jardin gris 75 cm,Vendeur B,Jardin,Mobilier extérieur,2023-03-06,308.27,2,10.82,14
CMD01057,applique murale 71 cm,Vendeur A,Maison,Luminaire,2023-09-23,103.99,5,6.86,11
CMD01058,mug 82 cm,Vendeur E,Cuisine,Art de la table,2023-10-01,21.27,1,2.03,11
CMD01058,lampe frontale 42 cm,Vendeur C,Sport,Plein air,2023-11-30,195.76,4,7.44,2
CMD01059,applique murale 49 cm,Vendeur B,Maison,Luminaire,2023-08-14,305.46,5,14.04,6
CMD01059,coque silicone beige,Vendeur B,High-Tech,Téléphonie,2023-03-04,326.32,5,18.03,4
CMD01060,chargeur usb-c beige,Vendeur B,High-Tech,Téléphonie,2023-09-21,235.42,1,1.26,8
CMD01060,sac à dos rando vert,Vendeur C,Sport,Plein air,2023-05-27,22.87,1,14.26,4
CMD01061,mug noir 115x63,Vendeur C,Cuisine,Art de la table,2023-05-28,303.21,2,15.06,7
CMD01061,haltère blanc,Vendeur C,,Fitness,2023-01-24,372.89,3,4.06,10
CMD01062,verre à pied 52 cm,Vendeur A,Cuisine,Art de la table,2023-06-22,392.06,5,7.69,12
CMD01062,panier osier rouge modèle 7,Vendeur B,Maison,Rangement,2023-08-31,329.56,2,0.79,12
CMD01063,lampadaire 65 cm,Vendeur F,Maison,Luminaire,2023-01-10,292.32,2,12.97,9
CMD01063,assiette céramique gris,Vendeur F,Cuisine,Art de la table,2023-09-02,273.89,3,15.25,4
CMD01064,chargeur usb-c,Vendeur D,High-Tech,Téléphonie,2023-10-13,130.23,3,14.01,13
CMD01064,set couteaux,Vendeur C,Cuisine,Ustensile,2023-03-04,21.62,1,8.66,8
CMD01065,verre à pied modèle 4,Vendeur B,Cuisine,Art de la table,2023-09-03,25.05,5,5.64,4
CMD01065,suspension blanc 65 cm,Vendeur B,Maison,Luminaire,2023-07-31,303.58,3,8.03,11
CMD01066,lampe 27 cm,Vendeur A,Maison,Luminaire,2023-11-30,398.88,4,19.7,3
CMD01066,grille-pain modèle 9,Vendeur D,Cuisine,Électroménager,2023-01-05,112.77,1,8.27,12
CMD01067,arrosoir bleu 56 cm,Vendeur E,,Outillage,2023-04-06,134.53,4,16.73,3
CMD01067,chargeur usb-c vert,Vendeur F,High-Tech,,2023-06-15,231.29,3,16.34,12
CMD01068,enceinte portable,Vendeur C,High-Tech,Audio,2023-12-08,277.66,3,9.19,4
CMD01068,barre de son,Vendeur B,High-Tech,Audio,2023-09-02,305.93,5,21.83,2
CMD01069,lampe frontale bleu modèle 6,Vendeur E,Sport,Plein air,2023-09-28,179.53,2,17.92,8
CMD01069,panier osier rouge,Vendeur C,Maison,Rangement,2023-08-17,290.7,4,6.36,1
CMD01070,clavier sans fil rouge modèle 8,Vendeur A,,Informatique,2023-02-07,118.4,2,19.22,13
CMD01070,arrosoir blanc,Vendeur B,Jardin,Outillage,2023-07-15,397.17,4,13.22,12
CMD01071,barre de son beige modèle 6,Vendeur B,High-Tech,Audio,2023-01-12,113.88,1,0.81,11
CMD01071,chaise pliante rouge 132x49,Vendeur A,Jardin,Mobilier extérieur,2023-05-04,60.35,3,5.85,12
CMD01072,sac à dos rando blanc,Vendeur D,Sport,Plein air,2023-10-23,123.7,1,13.92,10
CMD01072,souris ergonomique,Vendeur C,High-Tech,Informatique,2023-12-14,280.04,4,3.73,7
CMD01073,tapis souris,Vendeur D,High-Tech,Informatique,2023-08-31,225.13,2,9.71,5
CMD01073,chargeur usb-c bleu 174x97 modèle 2,Vendeur B,High-Tech,Téléphonie,2023-11-28,322.84,5,18.11,9
CMD01074,coque silicone bleu modèle 8,Vendeur B,High-Tech,Téléphonie,2023-04-17,279.77,2,9.92,4
CMD01074,sac à dos rando gris,Vendeur A,Sport,Plein air,2023-05-25,322.11,4,19.04,6
CMD01075,coque silicone 79 cm,Vendeur D,High-Tech,Téléphonie,2023-06-10,121.6,2,8.25,7
CMD01075,haltère,Vendeur D,Sport,Fitness,2023-09-13,187.03,3,4.23,12
CMD01076,lampe frontale,Vendeur A,Sport,Plein air,2023-04-05,378.35,1,19.11,7
CMD01076,clavier sans fil gris 83 cm,Vendeur F,High-Tech,Informatique,2023-04-29,197.7,1,13.31,7
CMD01077,applique murale beige,Vendeur A,Maison,Luminaire,2023-09-29,367.63,5,3.72,4
CMD01077,sac à dos rando 198x48 modèle 2,Vendeur F,Sport,Plein air,2023-07-01,396.71,1,2.34,7
CMD01078,sécateur beige,Vendeur A,Jardin,Outillage,2023-01-29,358.44,1,5.74,14
CMD01078,sac à dos rando modèle 6,Vendeur A,,Plein air,2023-05-19,384.78,5,3.6,14
CMD01079,table jardin,Vendeur F,Jardin,Mobilier extérieur,2023-06-03,60.28,1,12.52,6
CMD01079,lampadaire 62 cm,Vendeur C,Maison,Luminaire,2023-08-12,223.45,4,10.8,11
CMD01080,gourde isotherme 182x39,Vendeur C,Sport,Plein air,2023-02-13,147.48,1,0.13,5
CMD01080,arrosoir beige 161x31,Vendeur C,Jardin,Outillage,2023-05-19,346.17,1,7.3,7
CMD01081,panier osier beige 88x83 modèle 3,Vendeur D,Maison,Rangement,2023-10-14,114.0,3,12.11,2
CMD01081,planche à découper noir 121x62,Vendeur D,Cuisine,Ustensile,2023-05-07,322.61,3,11.01,7
CMD01082,tapis yoga blanc,Vendeur C,Sport,Fitness,2023-06-03,295.28,4,24.19,13
CMD01082,chargeur usb-c bleu,Vendeur F,High-Tech,Téléphonie,2023-07-12,308.21,1,23.83,8
CMD01083,chargeur usb-c 84x104 modèle 7,Vendeur D,High-Tech,,2023-05-30,34.22,5,11.98,7
CMD01083,lampe frontale,Vendeur A,,Plein air,2023-10-06,48.2,2,16.44,6
CMD01084,tapis souris,Vendeur D,,Informatique,2023-11-10,46.85,1,6.47,9
CMD01084,élastique résistance blanc 46x57,Vendeur A,Sport,Fitness,2023-08-17,50.85,2,8.71,6
CMD01085,table jardin 31x110 modèle 6,Vendeur F,Jardin,Mobilier extérieur,2023-09-24,48.2,2,23.25,12
CMD01085,souris ergonomique 67x43,Vendeur D,High-Tech,Informatique,2023-03-31,161.26,5,22.08,8
CMD01086,sac à dos rando modèle 2,Vendeur E,,Plein air,2023-07-19,78.85,3,4.93,2
CMD01086,mug beige,Vendeur D,Cuisine,Art de la table,2023-09-08,248.86,3,22.97,10
CMD01087,étagère blanc,Vendeur B,Maison,Rangement,2023-03-10,232.05,4,4.64,11
CMD01087,tapis yoga,Vendeur A,Sport,Fitness,2023-10-12,196.42,2,20.38,9
CMD01088,sac à dos rando noir,Vendeur B,Sport,Plein air,2023-07-29,120.38,3,5.62,5
CMD01088,câble lightning noir 51 cm,Vendeur A,High-Tech,Téléphonie,2023-10-17,305.2,4,13.66,7
CMD01089,étagère gris modèle 2,Vendeur B,Maison,Rangement,2023-12-01,87.9,5,17.23,14
CMD01089,gourde isotherme,Vendeur E,Sport,Plein air,2023-03-26,217.81,3,24.48,5
CMD01090,mug 57 cm,Vendeur C,Cuisine,Art de la table,2023-05-17,347.48,2,17.54,3
CMD01090,barre de son blanc modèle 7,Vendeur D,High-Tech,Audio,2023-12-31,183.54,1,10.07,12
CMD01091,mug noir,Vendeur F,Cuisine,Art de la table,2023-07-08,280.43,1,19.89,7
CMD01091,chargeur usb-c blanc,Vendeur C,High-Tech,Téléphonie,2023-04-19,358.19,1,1.15,11
CMD01092,table jardin beige 21 cm,Vendeur C,Jardin,Mobilier extérieur,2023-03-05,67.8,3,2.33,6
CMD01092,bouilloire vert,Vendeur D,Cuisine,Électroménager,2023-07-10,263.92,1,0.03,8
CMD01093,lampe gris,Vendeur D,Maison,Luminaire,2023-10-31,279.14,4,1.77,7
CMD01093,boîte de rangement blanc,Vendeur A,Maison,Rangement,2023-02-22,214.55,1,15.26,3
CMD01094,arrosoir 45x37,Vendeur E,Jardin,Outillage,2023-04-20,293.35,3,24.08,6
CMD01094,barre de son,Vendeur F,High-Tech,Audio,2023-05-22,15.6,3,5.14,10
CMD01095,tapis yoga noir 14 cm,Vendeur A,Sport,,2023-07-20,394.82,3,3.3,14
CMD01095,sac à dos rando modèle 2,Vendeur A,Sport,Plein air,2023-07-07,108.56,1,23.06,13
CMD01096,arrosoir 83 cm modèle 2,Vendeur C,Jardin,Outillage,2023-11-18,36.21,2,24.36,3
CMD01096,lampe frontale 35 cm modèle 2,Vendeur D,Sport,Plein air,2023-07-20,50.81,5,15.22,5
CMD01097,casque bluetooth gris,Vendeur F,High-Tech,Audio,2023-01-07,107.4,3,3.17,13
CMD01097,verre à pied noir 85 cm modèle 8,Vendeur E,Cuisine,,2023-03-02,147.25,4,21.48,3
CMD01098,mixeur plongeant 10 cm,Vendeur A,Cuisine,Électroménager,2023-05-11,101.6,4,9.1,3
CMD01098,barre de son gris 45 cm modèle 2,Vendeur E,High-Tech,Audio,2023-10-11,152.26,5,16.83,1
